chinese,pinyin
我刚买完东西准备回家，碰巧在商场门口遇见了多年不见的同窗，我们便去小酌了几杯，谈谈各自的经历。,"Wǒ gāng mǎiwán dōngxi zhǔnbèi huí jiā, pèngqiǎo zài shāngchǎng ménkǒu yùjiànle duō nián bú jiàn de tóngchuāng, wǒmen biàn qù xiǎozhuóle jǐ bēi, tántan gèzì de jīnglì."
台风早不来，晚不来，偏偏赶在这个时候来！航班取消了，我的旅游计划全泡汤了。,"Táifēng zǎo bù lái, wǎn bù lái, piānpiān gǎn zài zhège shíhou lái! Hángbān qǔxiāo le, wǒ de lǚyóu jìhuà quán pàotāng le."
欣赏风景一般是用眼睛看，但东湖的设计者却偏偏要你用耳朵听景、用鼻子闻景。,"Xīnshǎng fēngjǐng yìbān shì yòng yǎnjing kàn, dàn Dōnghú de shèjìzhě què piānpiān yào nǐ yòng ěrduo tīng jǐng, yòng bízi wén jǐng."
吃饭时有可口的餐食，睡觉时有香软的床榻，逛街时恰巧听到钟爱的乐曲，这些瞬间都足以让我感受到生活的美好。,"Chī fàn shí yǒu kěkǒu de cānshí, shuìjiào shí yǒu xiāngruǎn de chuángtà, guàng jiē shí qiàqiǎo tīngdào zhōng'ài de yuèqǔ, zhèxiē shùnjiān dōu zúyǐ ràng wǒ gǎnshòudào shēnghuó de měihǎo."
因为“鱼”恰巧跟“余”字同音，所以年夜饭饭桌上一定有鱼，是希望“年年有余”的意思。,"Yīnwèi ""yú"" qiàqiǎo gēn ""yú"" zì tóngyīn, suǒyǐ niányèfàn fànzhuō shàng yídìng yǒu yú, shì xīwàng ""niánnián yǒuyú"" de yìsi."
雪山海拔较高，游览过程中易产生高原反应，切记根据自身情况量力而行。,"Xuěshān hǎibá jiào gāo, yóulǎn guòchéng zhōng yì chǎnshēng gāoyuán fǎnyìng, qièjì gēnjù zìshēn qíngkuàng liànglì'érxíng."
家中常用药应少而精，切不可盲目囤积大量药品，避免过期造成浪费。,"Jiāzhōng chángyòng yào yīng shǎo ér jīng, qiè bùkě mángmù túnjī dàliàng yàopǐn, bìmiǎn guòqī zàochéng làngfèi."
这家火锅店口碑极好，很多顾客情愿排队等一两个小时，也要在这里吃。,"Zhè jiā huǒguōdiàn kǒubēi jí hǎo, hěn duō gùkè qíngyuàn páiduì děng yì liǎng ge xiǎoshí, yě yào zài zhèlǐ chī."
很多商家其实并不情愿动辄促销，但看到竞品价格一再跳水，自己也只能被迫参与价格战。,"Hěn duō shāngjiā qíshí bìng bù qíngyuàn dòngzhé cùxiāo, dàn kàndào jìngpǐn jiàgé yízài tiàoshuǐ, zìjǐ yě zhǐ néng bèipò cānyù jiàgé zhàn."
如果这则新闻的真实性得到确认，势必引起全社会的强烈反响。,"Rúguǒ zhè zé xīnwén de zhēnshíxìng dédào quèrèn, shìbì yǐnqǐ quán shèhuì de qiángliè fǎnxiǎng."
如果这个关键技术问题得不到解决，公司的竞争力势必会受到影响。,"Rúguǒ zhège guānjiàn jìshù wèntí débudào jiějué, gōngsī de jìngzhēnglì shìbì huì shòudào yǐngxiǎng."
前往景区的路上已堵得水泄不通，我们索性直接下车步行。,"Qiánwǎng jǐngqū de lùshang yǐ dǔ de shuǐxièbùtōng, wǒmen suǒxìng zhíjiē xiàchē bùxíng."
他考了几次都没通过，索性不考了。,"Tā kǎole jǐ cì dōu méi tōngguò, suǒxìng bù kǎo le."
我们为了这次竞赛准备了很长时间，可万万没有想到，组委会突然宣布比赛取消，而且没给出合理解释。,"Wǒmen wèile zhè cì jìngsài zhǔnbèile hěn cháng shíjiān, kě wànwàn méiyǒu xiǎngdào, zǔwěihuì tūrán xuānbù bǐsài qǔxiāo, érqiě méi gěichū hélǐ jiěshì."
事实表明，代言人与品牌的匹配程度对商品销售有着重要影响，企业万万不可轻视。,"Shìshí biǎomíng, dàiyánrén yǔ pǐnpái de pǐpèi chéngdù duì shāngpǐn xiāoshòu yǒuzhe zhòngyào yǐngxiǎng, qǐyè wànwàn bùkě qīngshì."
文章本身不好，安上一个好题目也无济于事；但文章好而题目不好，就未免令人惋惜了。,"Wénzhāng běnshēn bù hǎo, ānshàng yí ge hǎo tímù yě wújìyúshì; dàn wénzhāng hǎo ér tímù bù hǎo, jiù wèimiǎn lìng rén wǎnxī le."
没有取得理想结果，他未免有些沮丧，此时最需要的是鼓励和安慰。,"Méiyǒu qǔdé lǐxiǎng jiéguǒ, tā wèimiǎn yǒuxiē jǔsàng, cǐshí zuì xūyào de shì gǔlì hé ānwèi."
演出期间，请各位观众务必将手机调至静音，以免影响他人。,"Yǎnchū qījiān, qǐng gèwèi guānzhòng wùbì jiāng shǒujī tiáozhì jìngyīn, yǐmiǎn yǐngxiǎng tārén."
因活动现场座位有限，请务必提前报名，额满即止。,"Yīn huódòng xiànchǎng zuòwèi yǒuxiàn, qǐng wùbì tíqián bàomíng, émǎn jízhǐ."
他急忙把生病的孩子送去医院治疗，医生检查后说：“这孩子幸好送得及时，迟一点就没救了。”,"Tā jímáng bǎ shēngbìng de háizi sòngqù yīyuàn zhìliáo, yīshēng jiǎnchá hòu shuō: ""Zhè háizi xìnghǎo sòng de jíshí, chí yìdiǎn jiù méi jiù le."""
我听见他的话后，吃惊地朝四周看了看，幸好附近无人，这才放了心。,"Wǒ tīngjiàn tā de huà hòu, chījīng de cháo sìzhōu kànlekàn, xìnghǎo fùjìn wú rén, zhè cái fàngle xīn."
今天的活动我幸亏没去凑热闹，去了也是人挤人，什么也看不见。,"Jīntiān de huódòng wǒ xìngkuī méi qù còu rènao, qùle yě shì rén jǐ rén, shénme yě kàn bú jiàn."
刘女士不小心把手提包落在了出租车上，幸亏遇到林师傅这样拾金不昧的司机，主动把包交还给了她。,"Liú nǚshì bù xiǎoxīn bǎ shǒutíbāo làzàile chūzūchē shàng, xìngkuī yùdào Lín shīfu zhèyàng shíjīnbúmèi de sījī, zhǔdòng bǎ bāo jiāohuán gěile tā."
乌云遮不住太阳，正义终究会战胜邪恶。,"Wūyún zhē bú zhù tàiyáng, zhèngyì zhōngjiū huì zhànshèng xié'è."
漂泊的游子，无论在外如何坚强，回到家也终究是个孩子。,"Piāobó de yóuzǐ, wúlùn zài wài rúhé jiānqiáng, huídào jiā yě zhōngjiū shì ge háizi."
我要去海南旅游了，你最近不也休假吗，何不一起去？,"Wǒ yào qù Hǎinán lǚyóu le, nǐ zuìjìn bù yě xiūjià ma, hébú yìqǐ qù?"
在这样一个大城市的小区，雨后还能听到蛙声，真的令人欣喜。我们何不把新居叫做“听蛙楼”？,"Zài zhèyàng yí ge dà chéngshì de xiǎoqū, yǔ hòu hái néng tīngdào wāshēng, zhēn de lìng rén xīnxǐ. Wǒmen hébù bǎ xīnjū jiàozuò ""Tīng Wā Lóu""?"
她一向被众星捧月，何尝受过这样的冷遇，心中气愤不已。,"Tā yíxiàng bèi zhòngxīngpěngyuè, hécháng shòuguo zhèyàng de lěngyù, xīnzhōng qìfèn bùyǐ."
在逆境下不气馁、不后悔，这才是强者该有的逻辑。体育比赛是这样，其他事情何尝不也是如此呢？,"Zài nìjìng xià bú qìněi, bú hòuhuǐ, zhè cái shì qiángzhě gāi yǒu de luóji. Tǐyù bǐsài shì zhèyàng, qítā shìqing hécháng bù yě shì rúcǐ ne?"
你60岁的人了，每个月好几千的退休金，何苦再出来打零工？,"Nǐ liùshí suì de rén le, měi ge yuè hǎo jǐ qiān de tuìxiūjīn, hékǔ zài chūlái dǎ línggōng?"
小张刚毕业，社会经验不足，犯点错误也难免，你何苦为难她呢？,"Xiǎo Zhāng gāng bìyè, shèhuì jīngyàn bùzú, fàn diǎn cuòwù yě nánmiǎn, nǐ hékǔ wéinán tā ne?"
该片剧情严谨，全员演技在线，真乃一部不可多得的佳作。,"Gāi piàn jùqíng yánjǐn, quán yuán yǎnjì zàixiàn, zhēn nǎi yí bù bùkěduōdé de jiāzuò."
我问他是怎么知道的，他神秘地说：“此乃天机，不可泄露。”,"Wǒ wèn tā shì zěnme zhīdao de, tā shénmì de shuō: ""Cǐ nǎi tiānjī, bùkě xièlòu."""
打这天起，小赵替父亲担起了全家的重担。,"Dǎ zhè tiān qǐ, Xiǎo Zhào tì fùqīn dānqǐle quánjiā de zhòngdàn."
他悄声说这可是件宝贝，打皇宫里流出来的。,"Tā qiāoshēng shuō zhè kěshì jiàn bǎobèi, dǎ huánggōng lǐ liúchūlai de."
当着这么多人，那人只好把话咽了下去。,"Dāngzhe zhème duō rén, nà rén zhǐhǎo bǎ huà yānle xiàqù."
大家聊得正高兴，她却当着大家的面掉下泪来。,"Dàjiā liáo de zhèng gāoxìng, tā què dāngzhe dàjiā de miàn diàoxià lèi lái."
论坛期间，各国专家就共同感兴趣的专题进行了探讨和交流。,"Lùntán qījiān, gèguó zhuānjiā jiù gòngtóng gǎn xìngqù de zhuāntí jìnxíngle tàntǎo hé jiāoliú."
就离婚后的财产分割问题，双方产生了激烈的争论。,"Jiù líhūn hòu de cáichǎn fēngē wèntí, shuāngfāng chǎnshēngle jīliè de zhēnglùn."
我们本着“友谊第一，比赛第二”的精神，充分享受比赛的乐趣。,"Wǒmen běnzhe ""yǒuyì dì yī, bǐsài dì èr"" de jīngshén, chōngfèn xiǎngshòu bǐsài de lèqù."
虽然我和小孙素日关系更近，但本着实事求是的态度，我还是把票投给了小魏。,"Suīrán wǒ hé Xiǎo Sūn sùrì guānxi gèng jìn, dàn běnzhe shíshìqiúshì de tàidù, wǒ háishi bǎ piào tóugěile Xiǎo Wèi."
基于调研的结果，我们精准定位了产品的目标市场。,"Jīyú diàoyán de jiéguǒ, wǒmen jīngzhǔn dìngwèile chǎnpǐn de mùbiāo shìchǎng."
这部电影是基于真实事件改编而成的。,Zhè bù diànyǐng shì jīyú zhēnshí shìjiàn gǎibiān ér chéng de.
鉴于你在此次项目中的突出表现，公司决定对你予以嘉奖。,"Jiànyú nǐ zài cǐ cì xiàngmù zhōng de tūchū biǎoxiàn, gōngsī juédìng duì nǐ yǔyǐ jiājiǎng."
鉴于市场需求和用户偏好的不断变化，产品设计应适时转变策略，适应市场发展。,"Jiànyú shìchǎng xūqiú hé yònghù piānhào de búduàn biànhuà, chǎnpǐn shèjì yīng shìshí zhuǎnbiàn cèlüè, shìyìng shìchǎng fāzhǎn."
决议成文程序严格，须经全体会议或代表大会讨论通过才能生效。,"Juéyì chéngwén chéngxù yángé, xū jīng quántǐ huìyì huò dàibiǎo dàhuì tǎolùn tōngguò cái néng shēngxiào."
经医生细心诊治，哥哥身体状况日渐好转，已经可以自行下床行走了。,"Jīng yīshēng xìxīn zhěnzhì, gēge shēntǐ zhuàngkuàng rìjiàn hǎozhuǎn, yǐjīng kěyǐ zìxíng xiàchuáng xíngzǒu le."
经研究，公司决定把这一重要的新款产品交由你全权负责。,"Jīng yánjiū, gōngsī juédìng bǎ zhè yí zhòngyào de xīnkuǎn chǎnpǐn jiāoyóu nǐ quánquán fùzé."
一些无良的鉴定专家不依市场价值而是依主观价值评定东西等级的行为，严重扰乱了市场秩序。,"Yìxiē wúliáng de jiàndìng zhuānjiā bù yī shìchǎng jiàzhí érshì yī zhǔguān jiàzhí píngdìng dōngxi děngjí de xíngwéi, yánzhòng rǎoluànle shìchǎng zhìxù."
依我看，你在这件事的处理上有失公允。,"Yī wǒ kàn, nǐ zài zhè jiàn shì de chǔlǐ shàng yǒushī gōngyǔn."
鉴于近期设备故障频发，技术部门决定对相关设备进行全面维护。,"Jiànyú jìnqī shèbèi gùzhàng pínfā, jìshù bùmén juédìng duì xiāngguān shèbèi jìnxíng quánmiàn wéihù."
鉴于被告人严某主动上缴违法所得，认罪态度良好，可酌情从轻处罚。,"Jiànyú bèigàorén Yán Mǒu zhǔdòng shàngjiǎo wéifǎ suǒdé, rènzuì tàidù liánghǎo, kě zhuóqíng cóngqīng chǔfá."
你们的方案非常详细，况且已经得到了业内专家的肯定，相信实施起来不会有什么问题。,"Nǐmen de fāng'àn fēicháng xiángxì, kuàngqiě yǐjīng dédàole yènèi zhuānjiā de kěndìng, xiāngxìn shíshī qǐlái bú huì yǒu shénme wèntí."
要告别近二十年的舞台生涯，她真的十分不舍，况且，隔行如隔山，不跳舞她又能改行做些什么呢？,"Yào gàobié jìn èrshí nián de wǔtái shēngyá, tā zhēn de shífēn bùshě, kuàngqiě, géhángrúgéshān, bú tiàowǔ tā yòu néng gǎiháng zuò xiē shénme ne?"
有缘无缘不可强求，免得徒增烦恼。,"Yǒuyuán wúyuán bùkě qiǎngqiú, miǎnde tú zēng fánnǎo."
去往一个陌生的国家或地区，须了解当地的治安环境、文化禁忌，免得招来麻烦。,"Qùwǎng yí ge mòshēng de guójiā huò dìqū, xū liǎojiě dāngdì de zhì'ān huánjìng, wénhuà jìnjì, miǎnde zhāolái máfan."
事情要是能顺利解决最好，若不行，就得另寻其他门路了。,"Shìqing yàoshi néng shùnlì jiějué zuì hǎo, ruò bùxíng, jiù děi lìng xún qítā ménlù le."
若是购买的产品有任何质量问题，消费者可在七天之内无理由退换。,"Ruòshì gòumǎi de chǎnpǐn yǒu rènhé zhìliàng wèntí, xiāofèizhě kě zài qī tiān zhīnèi wú lǐyóu tuìhuàn."
倘若一开始她就懂得精打细算，日子也不会过得这么捉襟见肘了。,"Tǎngruò yì kāishǐ tā jiù dǒngde jīngdǎxìsuàn, rìzi yě bú huì guò de zhème zhuōjīnjiànzhǒu le."
我现在已经不想再听你说什么豪言壮语了。倘若五年后你能混出点名堂，就当我今日有眼不识泰山。,"Wǒ xiànzài yǐjīng bù xiǎng zài tīng nǐ shuō shénme háoyánzhuàngyǔ le. Tǎngruò wǔ nián hòu nǐ néng hùnchū diǎn míngtang, jiù dàng wǒ jīnrì yǒuyǎnbùshí Tàishān."
切莫轻易向陌生人转账汇款，以防上当受骗。,"Qièmò qīngyì xiàng mòshēngrén zhuǎnzhàng huìkuǎn, yǐfáng shàngdàngshòupiàn."
这次安全事故造成的惨烈后果，希望各位引以为戒，以防类似的悲剧再度发生。,"Zhè cì ānquán shìgù zàochéng de cǎnliè hòuguǒ, xīwàng gèwèi yǐnyǐwéijiè, yǐfáng lèisì de bēijù zàidù fāshēng."
空气湿闷，加之窗外嘈杂不已，使得她彻夜未眠。,"Kōngqì shīmèn, jiāzhī chuāngwài cáozá bùyǐ, shǐde tā chèyè wèimián."
他出众的能力加之丰富的工作经验是他职位迅速晋升的关键所在。,Tā chūzhòng de nénglì jiāzhī fēngfù de gōngzuò jīngyàn shì tā zhíwèi xùnsù jìnshēng de guānjiàn suǒzài.
这件衣服的刺绣工艺异常复杂，单是绣一朵花就需要花费数月乃至一年的时间。,"Zhè jiàn yīfu de cìxiù gōngyì yìcháng fùzá, dān shì xiù yì duǒ huā jiù xūyào huāfèi shù yuè nǎizhì yì nián de shíjiān."
我被他对文学的热爱和执着深深地打动了，乃至我回去之后还不能平静。,"Wǒ bèi tā duì wénxué de rè'ài hé zhízhuó shēnshēn de dǎdòng le, nǎizhì wǒ huíqù zhīhòu hái bù néng píngjìng."
受欢迎且传播力强的文章，在选题策划方面一定高出一筹。,"Shòu huānyíng qiě chuánbōlì qiáng de wénzhāng, zài xuǎntí cèhuà fāngmiàn yídìng gāochū yì chóu."
醉酒驾车造成他人死亡的驾驶员被当场吊销驾照，且终身不予重新申请。,"Zuìjiǔ jiàchē zàochéng tārén sǐwáng de jiàshǐyuán bèi dāngchǎng diàoxiāo jiàzhào, qiě zhōngshēn bùyǔ chóngxīn shēnqǐng."
他很谦虚地将自己的成功归结为运气好罢了。,Tā hěn qiānxū de jiāng zìjǐ de chénggōng guījié wéi yùnqi hǎo bàle.
那些我们一度以为难以承受的挫折，终将会变成人生宝贵的经历，只是时间的问题罢了。,"Nàxiē wǒmen yídù yǐwéi nányǐ chéngshòu de cuòzhé, zhōng jiāng huì biànchéng rénshēng bǎoguì de jīnglì, zhǐshì shíjiān de wèntí bàle."
这件事你答应也好，不答应也罢，我都铁了心要去做。,"Zhè jiàn shì nǐ dāying yě hǎo, bù dāying yě bà, wǒ dōu tiěle xīn yào qù zuò."
那些为迎合市场而推出的快餐读物，不看也罢。,"Nàxiē wèi yínghé shìchǎng ér tuīchū de kuàicān dúwù, bú kàn yě bà."
朋友在精不在多，人生得一知己足矣。,"Péngyou zài jīng bú zài duō, rénshēng dé yì zhījǐ zú yǐ."
作为一个摄影爱好者，我对这位国际知名的摄影大师仰慕久矣。,"Zuòwéi yí ge shèyǐng àihàozhě, wǒ duì zhè wèi guójì zhīmíng de shèyǐng dàshī yǎngmù jiǔ yǐ."
团购的产品价格十分优惠，可商家对待使用团购券的客人却很不热情，总摆出一副爱吃不吃、爱住不住、爱买不买的姿态。,"Tuángòu de chǎnpǐn jiàgé shífēn yōuhuì, kě shāngjiā duìdài shǐyòng tuángòuquàn de kèrén què hěn bú rèqíng, zǒng bǎichū yí fù àichībùchī, àizhùbúzhù, àimǎibùmǎi de zītài."
他这个人干什么都我行我素，穿衣打扮更是特立独行，一副“你爱看不看，反正我的事你管不着”的态度。,"Tā zhège rén gàn shénme dōu wǒxíngwǒsù, chuānyī dǎban gèng shì tèlìdúxíng, yí fù ""nǐ àikànbúkàn, fǎnzhèng wǒ de shì nǐ guǎnbuzháo"" de tàidù."
我这两天工作压力比较大，晚上一直半睡半醒，第二天精神很差。,"Wǒ zhè liǎng tiān gōngzuò yālì bǐjiào dà, wǎnshang yìzhí bànshuìbànxǐng, dì èr tiān jīngshen hěn chà."
他提供的信息半真半假，我们不能完全信任他。,"Tā tígōng de xìnxī bànzhēnbànjiǎ, wǒmen bùnéng wánquán xìnrèn tā."
我开服装店到今天正好一个月，生意不好不坏。,"Wǒ kāi fúzhuāngdiàn dào jīntiān zhènghǎo yí ge yuè, shēngyi bùhǎobúhuài."
1000万，对绝大多数人来说是一个天文数字。如果一个人年入10万，他需要不吃不喝100年才能攒够1000万。,"Yìqiān wàn, duì jué dàduōshù rén lái shuō shì yí ge tiānwén shùzì. Rúguǒ yí ge rén nián rù shí wàn, tā xūyào bùchībùhē yìbǎi nián cáinéng zǎngòu yìqiān wàn."
这名教授在职称晋升后，不顾尚未履行完毕的人事合同，连招呼都不打，直接不辞而别。,"Zhè míng jiàoshòu zài zhíchēng jìnshēng hòu, búgù shàngwèi lǚxíng wánbì de rénshì hétong, lián zhāohu dōu bù dǎ, zhíjiē bùcí'érbié."
有研究表明，长期坚持有氧运动的人心肺功能会得到明显提升，一些疾病也会不治而愈。,"Yǒu yánjiū biǎomíng, chángqī jiānchí yǒuyǎng yùndòng de rén xīnfèi gōngnéng huì dédào míngxiǎn tíshēng, yìxiē jíbìng yě huì búzhì'éryù."
这几个月我不停地东奔西走，几乎参访了集团下面所有的分公司，足以说明我一直关注集团的发展。,"Zhè jǐ ge yuè wǒ bùtíng de dōngbēnxīzǒu, jīhū cānfǎngle jítuán xiàmian suǒyǒu de fēn gōngsī, zúyǐ shuōmíng wǒ yìzhí guānzhù jítuán de fāzhǎn."
她东拼西凑了3万多元钱，但是离治病所需的高额费用还是远远不够的。,"Tā dōngpīnxīcòule sān wàn duō yuán qián, dànshì lí zhìbìng suǒxū de gāo'é fèiyòng háishi yuǎnyuǎn bú gòu de."
我跟他非亲非故，但是他却为了我的事四处奔波，感动得我不知说什么好。,"Wǒ gēn tā fēiqīnfēigù, dànshì tā què wèile wǒ de shì sìchù bēnbō, gǎndòng de wǒ bùzhī shuō shénme hǎo."
这些非真非假的传说故事，吊足了一众游客的胃口，也给第二天的行程增添了几分神秘色彩。,"Zhèxiē fēizhēnfēijiǎ de chuánshuō gùshi, diàozúle yí zhòng yóukè de wèikǒu, yě gěi dì èr tiān de xíngchéng zēngtiānle jǐ fēn shénmì sècǎi."
那条盘山公路很险，一个接一个的急转弯。汽车开着像是扭秧歌，忽上忽下，忽左忽右。,"Nà tiáo pánshān gōnglù hěn xiǎn, yí ge jiē yí ge de jízhuǎnwān. Qìchē kāizhe xiàng shì niǔ yāngge, hūshànghūxià, hūzuǒhūyòu."
羊群在草丛中忽隐忽现。一只细长的牧羊犬忙不迭地穿梭其中。,Yángqún zài cǎocóng zhōng hūyǐnhūxiàn. Yì zhī xìcháng de mùyángquǎn mángbudié de chuānsuō qízhōng.
酒吧里的客人手里端着酒杯，或坐或立，姿态各异。,"Jiǔbā lǐ de kèrén shǒu lǐ duānzhe jiǔbēi, huòzuòhuòlì, zītài gè yì."
夜深了，可她或躺或坐，一直难以入睡。她生平第一次有这种牵肠挂肚的感觉。,"Yè shēn le, kě tā huòtǎnghuòzuò, yìzhí nányǐ rùshuì. Tā shēngpíng dì yī cì yǒu zhè zhǒng qiānchángguàdù de gǎnjué."
她做的豆腐，或炖或炒，总是色白味醇。乡亲们头一次吃到这么好的豆腐，都夸她手艺好。,"Tā zuò de dòufu, huòdùnhuòchǎo, zǒngshì sè bái wèi chún. Xiāngqīnmen tóu yí cì chīdào zhème hǎo de dòufu, dōu kuā tā shǒuyì hǎo."
小婉对这位天才同事，没有半点嫉妒，而是一开始就由衷地欣赏她，并真心地关爱她，完全像一位可敬可亲大姐姐。,"Xiǎo Wǎn duì zhè wèi tiāncái tóngshì, méiyǒu bàndiǎn jídù, érshì yì kāishǐ jiù yóuzhōng de xīnshǎng tā, bìng zhēnxīn de guān'ài tā, wánquán xiàng yí wèi kějìngkěqīn dàjiějie."
读书笔记要精炼，要根据实际的阅读进度，总结概括，并体现所思所想。篇幅可长可短，决不写空话、假话、应付的话。,"Dúshū bǐjì yào jīngliàn, yào gēnjù shíjì de yuèdú jìndù, zǒngjié gàikuò, bìng tǐxiàn suǒsīsuǒxiǎng. Piānfú kěchángkěduǎn, jué bù xiě kōnghuà, jiǎhuà, yìngfu de huà."
一群年轻人连说带笑地迎面走来，整个街道顿时充满了欢声笑语。,"Yì qún niánqīngrén liánshuōdàixiào de yíngmiàn zǒulai, zhěnggè jiēdào dùnshí chōngmǎnle huānshēngxiàoyǔ."
昨晚有人在江边骑行，结果连人带车落入江中，至今生死不明。,"Zuówǎn yǒu rén zài jiāngbiān qíxíng, jiéguǒ liánréndàichē luòrù jiāngzhōng, zhìjīn shēngsǐ bùmíng."
司机对这里的道路不太熟悉，竟七拐八绕地把车开到了海边，现在陷在烂泥里出不来了。,"Sījī duì zhèlǐ de dàolù bú tài shúxī, jìng qīguǎibārào de bǎ chē kāidàole hǎibiān, xiànzài xiàn zài lànní lǐ chūbulái le."
乐乐是个十足的捣蛋鬼，常常把家里的玩具拆得七零八落的，用画笔把墙上涂得乱七八糟。,"Lèle shì ge shízú de dǎodànguǐ, chángcháng bǎ jiā lǐ de wánjù chāi de qīlíngbāluò de, yòng huàbǐ bǎ qiáng shàng tú de luànqībāzāo."
他最近身体时好时坏，但只要他还撑得住，他一定会来参加我们的婚礼的。,"Tā zuìjìn shēntǐ shíhǎoshíhuài, dàn zhǐyào tā hái chēngdezhù, tā yídìng huì lái cānjiā wǒmen de hūnlǐ de."
雨停了，天上的云渐渐散了，天边有道彩虹时隐时现。,"Yǔ tíng le, tiān shàng de yún jiànjiàn sàn le, tiānbiān yǒu dào cǎihóng shíyǐnshíxiàn."
短短几天，我们就成了无话不谈的好友，一想到就要分开了，不免觉得伤感。,"Duǎnduǎn jǐ tiān, wǒmen jiù chéngle wúhuàbùtán de hǎoyǒu, yì xiǎngdào jiù yào fēnkāi le, bùmiǎn juéde shānggǎn."
这所无人不知的重点初中的家长可谓卧虎藏龙，基本上都是知名学者、政府高官、企业高管等有着较高社会地位的人。,"Zhè suǒ wúrénbùzhī de zhòngdiǎn chūzhōng de jiāzhǎng kěwèi wòhǔcánglóng, jīběnshàng dōu shì zhīmíng xuézhě, zhèngfǔ gāoguān, qǐyè gāoguǎn děng yǒuzhe jiào gāo shèhuì dìwèi de rén."
工作地点离城里很远，休息时无处可去，他只得靠钓鱼聊以解闷。,"Gōngzuò dìdiǎn lí chéng lǐ hěn yuǎn, xiūxi shí wúchùkěqù, tā zhǐdé kào diàoyú liáoyǐjiěmèn."
到了淡季，公司业务很少，大部员工无事可做，只能拿底薪。,"Dàole dànjì, gōngsī yèwù hěn shǎo, dà bù yuángōng wúshìkězuò, zhǐ néng ná dǐxīn."
这位导演，早年在外国留过学，编剧功底了得，今天这戏，就是他自编自导的。,"Zhè wèi dǎoyǎn, zǎonián zài wàiguó liúguo xué, biānjù gōngdǐ liǎodé, jīntiān zhè xì, jiùshì tā zìbiānzìdǎo de."
他开心极了，直夸我干得好，并自称自赞，说自己眼光独到。,"Tā kāixīn jíle, zhí kuā wǒ gàn de hǎo, bìng zìchēngzìzàn, shuō zìjǐ yǎnguāng dúdào."
你这一番言论真令我醍醐灌顶，不瞒你说，我虽虚长你几岁，见解却远不如你。,"Nǐ zhè yì fān yánlùn zhēn lìng wǒ tíhúguàndǐng, bùmán nǐ shuō, wǒ suī xūzhǎng nǐ jǐ suì, jiànjiě què yuǎn bùrú nǐ."
老刘，不瞒你说，那次去你家吃饭，我到得早，你不在屋子里，桌上放着白菜炖五花肉，我就恨不得先吃两块解解馋。,"Lǎo Liú, bùmán nǐ shuō, nà cì qù nǐ jiā chī fàn, wǒ dào de zǎo, nǐ bú zài wūzi lǐ, zhuō shàng fàngzhe báicài dùn wǔhuāròu, wǒ jiù hènbude xiān chī liǎng kuài jiějie chán."
你们俩有话好好说，别斤斤计较，各自让一步，这事儿不就过去了？,"Nǐmen liǎ yǒu huà hǎohǎo shuō, bié jīnjīnjìjiào, gèzì ràng yí bù, zhè shìr bú jiù guòqù le?"
——不是，我俩吵架你瞎掺和什么？,"Bú shì, wǒ liǎ chǎojià nǐ xiā chānhuo shénme?"
我们现在去吃自助餐怎么样？,Wǒmen xiànzài qù chī zìzhùcān zěnmeyàng?
——不是，你下午两点才吃过饭，现在还不到三个小时，这么快就又饿了？,"Bú shì, nǐ xiàwǔ liǎng diǎn cái chīguo fàn, xiànzài hái bú dào sān ge xiǎoshí, zhème kuài jiù yòu è le?"
不是我说你，你真是一点儿事都不懂。你既然求他帮忙，为什么姿态不放低点儿？,"Bú shì wǒ shuō nǐ, nǐ zhēnshi yìdiǎnr shì dōu bù dǒng. Nǐ jìrán qiú tā bāngmáng, wèishénme zītài bú fàng dī diǎnr?"
哥们儿，不是我说你，你还是社会经验不够啊。这件事搞成这样，说明你和上司的关系实在不怎么样。,"Gēmenr, bú shì wǒ shuō nǐ, nǐ háishi shèhuì jīngyàn bú gòu a. Zhè jiàn shì gǎochéng zhèyàng, shuōmíng nǐ hé shàngsi de guānxi shízài bù zěnmeyàng."
人的素质是人进行社会实践的产物，反过来，人的素质同样也会影响社会实践。,"Rén de sùzhì shì rén jìnxíng shèhuì shíjiàn de chǎnwù, fǎnguòlai, rén de sùzhì tóngyàng yě huì yǐngxiǎng shèhuì shíjiàn."
一个国家的教育发展水平取决于其经济、政治的发展程度；反过来说，它的经济和政治的发展程度，同样受到教育发展水平的深刻影响。,"Yí ge guójiā de jiàoyù fāzhǎn shuǐpíng qǔjuéyú qí jīngjì, zhèngzhì de fāzhǎn chéngdù; fǎnguòlai shuō, tā de jīngjì hé zhèngzhì de fāzhǎn chéngdù, tóngyàng shòudào jiàoyù fāzhǎn shuǐpíng de shēnkè yǐngxiǎng."
我看过陈刚写的诗，概括来说，给我留下了这样两点印象：第一，他的诗可谓大气磅礴；第二，他古典诗词方面的修养非常高。,"Wǒ kànguo Chén Gāng xiě de shī, gàikuò lái shuō, gěi wǒ liúxiàle zhèyàng liǎng diǎn yìnxiàng: dì yī, tā de shī kěwèi dàqìpángbó; dì èr, tā gǔdiǎn shīcí fāngmiàn de xiūyǎng fēicháng gāo."
