chinese,english
读书固然范围要广博，但是也要有所选择，不能什么都读。换句话说，不仅要多读书，还要读好书。,"Whilst it is certainly important to read widely, one must also be selective and not read just anything. In other words, it is not enough simply to read a lot; one must also read good books."
你要问我过年的感受，简言之：热热闹闹、忙忙碌碌、吃吃喝喝、嘻嘻哈哈罢了。,"If you were to ask me how I felt about the Chinese New Year, in a nutshell: it was just a lively, bustling time of feasting, drinking and having a laugh."
电影艺术的教育作用，在于将人物的境遇、所作的斗争以及内心活动、思想感情传递给观众并为其所理解，从而激起共情。简而言之，就是能否动之以情。,"The educational role of the art of cinema lies in conveying the characters' circumstances, their struggles, and their inner thoughts and emotions to the audience so that they may be understood, thereby evoking empathy. In short, it is about whether the film can move the audience emotionally."
“北京的雪总是静悄悄地飘下来，不会有一点声音。只有第二天早上睡醒了去开门，才知道昨天晚上下雪了。”一个道地的北京口音回应说：“可不，北京连雪也文明。”,"“The snow in Beijing always falls so quietly, without a sound. It's only when you wake up the next morning and open the door that you realise it snowed last night.” A voice with a genuine Beijing accent replied, “That's right—even the snow in Beijing is civilised.”"
刘全指着铁子说：“要不是蔬菜大棚，铁子还是贫困户哩！”铁子不好意思地笑了：“可不是嘛！”,"Liu Quan pointed at Tiezi and said, ‘If it weren't for the vegetable greenhouses, Tiezi would still be living in poverty!' Tiezi smiled sheepishly: ‘That's for sure!'"
老实说，我对你太失望了。,"To be honest, I'm really disappointed in you."
我和我老公现在的状态是，只要我不主动和他说话，他也绝不会找我说话，老实说，有时候我觉得这样也挺好的，默契就行。,"The way things are between my husband and me at the moment is that, unless I make the first move and speak to him, he'll never come and talk to me either. To be honest, sometimes I think this is actually quite nice; it's enough that we're on the same wavelength."
我的朋友给我介绍了一位知名造型师。还别说，经他这么一打扮，我感觉整个人年轻了10岁。,"A friend of mine introduced me to a well-known stylist. I must say, after he'd styled me, I felt as though I'd been turned back the clock by ten years."
我当年一咬牙，花了三个月的工资买了这台洗衣机，你还别说，贵有贵的道理，这么多年它没出现过一次质量问题。,"Back then, I bit the bullet and spent three months' wages on this washing machine. And you know what? You get what you pay for – it hasn't had a single fault in all these years."
孩子考试不及格，千万别这样训斥孩子：“你看你，就考这么点分。你看那谁谁谁，人家怎么就能考那么高的分呢？”,"If your child fails an exam, you mustn't tell them off like this: ‘Look at you—you've only got this many marks. Look at so-and-so—how on earth did they manage to get such high marks?'"
小娟啊！别人减肥，你可不能减啊！你看你，本来就瘦，再减的话都没人形了！,"Xiao Juan! Everyone else is trying to lose weight, but you certainly mustn't! Look at you – you're already so slim; if you lose any more, you won't look human!"
你说到哪儿去了，我才不会对他产生任何好感！,What on earth are you on about? I'd never have the slightest bit of affection for him!
姐姐，看你说到哪儿去了，这么见外，我们是一家人，我怎么会不尽全力帮你呢？,"Sis, look where you're going with that—you're being so formal. We're family; how could I not do my very best to help you?"
说真的，老张，我真怕他！不但我怕，别人也都怕他。他要是来了，我可是一句话都说不出来。,"To be honest, Old Zhang, I'm really scared of him! It's not just me—everyone else is scared of him too. If he turns up, I won't be able to get a word out."
娜娜心平气和地说：“说真的，晓东，你过得好还是不好，对我已经无所谓了。我现在看到你，心里完全没有波澜。你放心吧，我不恨你，你不用抱歉。”,"Nana said calmly, ‘To be honest, Xiaodong, whether you're doing well or not doesn't matter to me anymore. Seeing you now leaves me completely unmoved. Don't worry, I don't hate you, and you don't need to apologise.'"
向一个根本不喜欢数学的人解释为何迷上数学，这几乎不可能。退一步说，他甚至不能向自己解释清楚。,"It is almost impossible to explain to someone who has no liking for mathematics whatsoever why one has become fascinated by it. Indeed, one cannot even explain it clearly to oneself."
且不说在近几年内，本省电力紧缺的局面不可能有根本性的改观，退一步说，即使电力紧缺得到基本缓解，小火电仍然有其不可替代之处。,"Leaving aside the fact that the province's electricity shortage is unlikely to see any fundamental improvement in the coming years, even if we concede that the shortage were to be largely alleviated, small-scale thermal power stations would still have their irreplaceable role to play."
无论如何，我得去打听打听，她这衣服到底从哪买的？,"In any case, I'll have to find out where on earth she bought that dress."
追逐梦想的过程必然是艰辛的，但无论如何，你都要坚持下去。,"The journey towards your dreams is bound to be arduous, but whatever happens, you must persevere."
你不能只看别人对你热不热情，先得想想自己应该怎么做。要我说呀，你还老觉得自己是个知识分子，身份与众不同。,"You can't just focus on whether others are warm towards you; you need to think first about what you should be doing yourself. If you ask me, you're always thinking of yourself as an intellectual, as though your status sets you apart from everyone else."
我是没看出来他的书法好在哪里，妙在哪里。要让我说，不同就不同在他是个作家，而不是普通人。,"I can't see what's so good or so brilliant about his calligraphy. If you ask me, the only difference is that he's a writer, not an ordinary person."
那些小伙子经常过来帮我在院子里干活，遇着墙坏了就重新垒。这不，院子的东墙就是他们不久前新垒的。,"Those lads often pop round to help me with the yard work, and whenever a wall's come down, they rebuild it. In fact, the east wall of the yard was rebuilt by them not long ago."
节日到了，我想给他们改善改善伙食。他俩是滕州的，这不，我准备了大葱、煎饼，还有一大盘肉。,"With the festive season upon us, I thought I'd treat them to a bit of a feast. They're from Tengzhou, so I've prepared some spring onions, pancakes and a large platter of meat."
他在屋后的空地上饲养了一群小鸡。这样一来，等小鸡长大后，他就有鸡蛋和鸡肉可吃了。,"He keeps a flock of chicks in the open space behind his house. That way, when the chicks grow up, he'll have eggs and chicken to eat."
这些猎犬虽然个个经验丰富、身手矫健，但是对主人却不够信任。这样一来，整个队伍在捕猎时的战斗力并不高。,"Although these hounds are all experienced and agile, they do not place sufficient trust in their masters. Consequently, the pack's effectiveness during the hunt is not particularly high."
他在我睡熟的时候偷偷跑了。真是的，我怎么会一点儿动静都没听到，睡得这么沉呢？,"He slipped away whilst I was fast asleep. Goodness me, how on earth did I not hear a single sound? I must have been sleeping so soundly."
这点儿小事你竟然能唠叨两个多小时，真是的！,You've actually been going on about this trivial matter for over two hours – for goodness' sake!
生态经济学认为，一切经济活动都是在一定的生态经济系统中进行的。它是由生态系统和经济系统两个子系统有机结合形成的。经济活动不单在经济系统中进行，同时也在生态系统中运行。也就是说，同时要受经济规律和生态规律的双重制约。有的地区比其他地区发展得好、前景也更广阔，关键就在于主政者能够不但遵循商业经营规律，同时也满足生态平衡的自然规律要求。综上所述，创造经济效益、增强地区的竞争力与可持续发展密不可分，关键之处是人类是否在合理地利用资源、是否在改善和保护环境。,"Ecological economics holds that all economic activities take place within a specific eco-economic system. This system is formed by the organic integration of two subsystems: the ecological system and the economic system. Economic activities do not merely occur within the economic system; they also operate within the ecological system. In other words, they are subject to the dual constraints of both economic and ecological laws. The reason why some regions develop more successfully and have brighter prospects than others lies in the fact that their leaders are able not only to adhere to the principles of commercial management but also to meet the requirements of the natural laws governing ecological balance. In summary, generating economic benefits and enhancing a region's competitiveness are inextricably linked to sustainable development; the key lies in whether humanity is utilising resources rationally and whether it is improving and protecting the environment."
在这两天的赛场上，对面实力强大，调兵遣将游刃有余，相比起来，我们在女子项目上可与之匹敌，男双也有机会，但男单相对处于弱势。综上所述，赢下对方的困难不小，可他们碰见我们，心里未必就不发怵。,"Over the past two days of competition, our opponents have proved formidable, managing their line-up with ease. In comparison, we are more than a match for them in the women's events, and we also stand a chance in the men's doubles, though we are at a relative disadvantage in the men's singles. All things considered, it will be no easy task to beat them, but they may well feel a twinge of apprehension when facing us."
法制组调查组赴广东省多地，对招商引资工作进行了深入调研。总的来说，工作取得了不小的成就，但也暴露出了若干具体问题。,"The Legal Affairs Group's investigation team visited several locations in Guangdong Province to conduct an in-depth survey of investment promotion efforts. Overall, the work has achieved considerable success, but it has also revealed a number of specific issues."
他虽然性子急，有时说话有点儿伤人，但总的来说，他是个善良、真诚的人，关键时刻，总能给予我最及时的帮助。,"Although he has a short temper and can sometimes say things that hurt, on the whole he is a kind and sincere person who always manages to offer me the help I need at just the right moment."
现在这个时代，你不但可以进行传统的阅读自学，还可以在网络上参加正规大学开设的慕课，学习之后甚至能获得学分认定。总而言之，一个有志于学习的人，肯定能够找到适合自己的学习之路，从而走上精彩的人生之路。,"Nowadays, not only can you engage in traditional self-study through reading, but you can also take MOOCs offered by recognised universities online, and may even be awarded academic credits upon completion. In short, anyone with a desire to learn is sure to find a path of learning that suits them, thereby setting out on a fulfilling journey through life."
鲁迅早就主张用“拿来主义”对待他国的科学文化。他主张“拿来”以后，再区别好坏，或用或弃，总而言之，为我所用。,"Lu Xun had long advocated adopting a ‘take-what-we-need' approach to the science and culture of other countries. He argued that, after ‘taking' these elements, one should then distinguish between the good and the bad, deciding whether to adopt or discard them; in short, to make them serve our own purposes."
他的出发点是好的，只是没想到事情会闹到这个地步。,His intentions were good; he just didn't expect things to escalate to this extent.
她是铁了心要走，话说到这个份上了，再挽留也就没什么意思。,"She was absolutely determined to leave; now that she'd put it so bluntly, there was no point in trying to persuade her to stay."
他对他那一对双胞胎儿女，喜欢得要命。,He adores his twin children to bits.
今年福州破天荒下起了雪，天气冷得要死。幸亏家里提前装了地暖。,"It snowed in Fuzhou for the first time ever this year, and it's freezing cold. Thank goodness we'd had underfloor heating fitted at home in good time."
儿子再次打来电话，可他连听都不听就直接把电话挂掉，然后把话筒放在一边，这样他儿子就再也打不进来了。,"His son rang again, but he hung up without even listening, then set the receiver aside so that his son could no longer get through."
我敢断定，你托他办的这件事，他在老板面前提都没提过。,I'm quite certain that he hasn't even mentioned the matter you asked him to sort out to his boss.
玩就玩个痛快，反正明天还是假期。,Let's have a right good time—it's still a bank holiday tomorrow anyway.
今天我请客，你不用心疼钱，咱去就去个好点儿的饭店。,"I'm treating today, so don't worry about the cost – let's go to a nice restaurant."
在海上生活可不是件简单的事。这几天，我们晕船晕得吃了吐，吐了吃，一点儿胃口都没有。,"Life at sea is no easy matter. These past few days, we've been so seasick that we've been eating and then throwing up, and then throwing up and eating again; we haven't had the slightest appetite."
昨天晚上我睡了醒，醒了睡，心里十分烦躁，总觉得我们的秘密被泄露了。,Last night I kept dozing off and waking up; I felt very restless and couldn't shake the feeling that our secret had been revealed.
你相信也好，不相信也罢，反正我没有在背后说过你的坏话。,"Believe it or not, I've certainly never spoken ill of you behind your back."
不论别人说我幼稚也好，不成熟也罢，我都会坚持自己的原则。,"No matter whether people call me childish or immature, I will stick to my principles."
她这次考试没考好，整整哭了一天，别提多伤心了。,She didn't do well in her exam this time and cried for a whole day; she was absolutely heartbroken.
我和爸爸昨天第一次坐了过山车，那种体验，别提有多奇妙了。,My dad and I went on a rollercoaster for the first time yesterday; it was an absolutely marvellous experience.
站在慕田峪长城的高处看去，只见长城宛如一条曲折蜿蜒的巨龙，气势丝毫不亚于八达岭长城。,"Standing high up on the Mutianyu section of the Great Wall, one can see the Great Wall stretching out like a huge, winding dragon, its grandeur in no way inferior to that of the Badaling section."
她一说起家乡便打开了话匣子，那骄傲的神情透出对家乡无比的热爱。她对每一处名胜的了解程度不亚于一个专业导游。,"As soon as she started talking about her hometown, she couldn't stop; her proud expression betrayed her boundless love for the place. Her knowledge of every single landmark was on a par with that of a professional tour guide."
很多年轻人工作上有闯劲，但比较毛躁，遭遇挫折时，总不知如何是好。,"Many young people are full of drive in their work, but they tend to be rather impulsive, and when faced with setbacks, they are often at a loss as to what to do."
她告诉我她和男友分手了，很痛苦。可我真的不知怎么办才好，只能不停地安慰她。,"She told me she'd split up with her boyfriend and was really upset. But I really didn't know what to do, so all I could do was keep comforting her."
那姑娘动不动就给他打电话，弄得别人都以为他们是恋爱关系。,"That girl was always ringing him up, which made everyone else think they were in a relationship."
“我根本没有说过那些话！”王静的脸沉了下来，“你怎么动不动就歪曲我？”,‘I never said any of those things!' Wang Jing's expression darkened. ‘Why do you keep twisting my words?'
小黄怎么也不会想到，这份就业协议把自己送上了法庭，赔了2万元“违约金”不说，还落得个“没有诚信”的名声。,"Xiao Huang could never have imagined that this employment agreement would land him in court; not only did he have to pay 20,000 yuan in ‘liquidated damages', but he also ended up with a reputation for ‘lacking integrity'."
他也曾在股市搏杀，企图大赚一笔，结果闹得个血本无归，连房子都卖了。,"He had also tried his hand at the stock market, hoping to make a fortune, but ended up losing everything, even having to sell his house."
你来我家，我一定用珍藏多年的好酒招待你，让你喝个痛快。,"If you come to my house, I'll be sure to treat you to some fine wine I've been saving for years, and let you drink your fill."
你下班之后就回家不行吗？天天在外面玩个什么劲儿？,Can't you just go home after work? What's the point of going out to have a laugh every single day?
遇事别多想，该吃吃，该喝喝，天塌不下来。,"Don't overthink things; eat when you should, drink when you should – the sky isn't about to fall in."
到了高三下学期，就该放下所有负担，调整好心态，该学就学，该玩就玩。,"By the second term of your final year of secondary school, it's time to put all your worries aside, get into the right frame of mind, and study when you need to and have fun when you can."
要是我能想到别的办法，何至于来叨扰您呢？,"If I could think of another way, why would I be bothering you?"
我后悔没有听从他的忠告——要不然，事情何至于变得如此不可收拾！,"I regret not heeding his advice—otherwise, things would never have got so out of hand!"
在这家私营企业中，他的地位仅次于董事长。,"In this private company, he ranks second only to the chairman."
水稻是世界上分布最广泛的粮食作物之一，其种植面积仅次于小麦。,"Rice is one of the most widely cultivated food crops in the world, with a cultivated area second only to that of wheat."
我今天之所以放他一马，完全是看在你的面子上。,The only reason I let him off today was entirely to save face for you.
你别那么固执了，看在孩子的面子上，就来一趟吧。,"Don't be so stubborn; for the child's sake, just come along this once."
我觉得高档饭店的菜真没什么吃头儿，还是路边地道的土菜馆吃着过瘾。,"I don't really find the food at upmarket restaurants all that great; I much prefer the authentic, down-to-earth dishes at roadside eateries."
春晚小品少了原来那些老面孔，还真是没什么看头儿。,"Without those familiar faces in the Spring Festival Gala sketches, there really isn't much to watch."
你别再解释了，我跟你没什么好说的。,Don't bother explaining any further; I've got nothing more to say to you.
这事儿已经过去了，没什么好纠结的，人得往前看。,It's all in the past now; there's no point dwelling on it – one must look to the future.
登山的游客可以欣赏到众多书画名家留下的石刻题词。石刻题词最密集地方，莫过于我们现在看到的这处崖壁了。,Visitors climbing the mountain can admire the stone inscriptions left by numerous renowned calligraphers and painters. Nowhere are these inscriptions more concentrated than on this very cliff face we are looking at.
近些年，在全球范围内引发最多关注的火山，莫过于2010年3月20日开始大规模喷发的冰岛南部的埃亚菲亚德拉火山了。,"In recent years, the volcano that has attracted the most attention worldwide is undoubtedly Eyjafjallajökull in southern Iceland, which began a major eruption on 20 March 2010."
你说你一个20多岁的成年人，又不是小孩子，怎么连话都说不清楚呢？,"You're a grown-up in your twenties, not a child – how come you can't even speak properly?"
你说你一个弱女子，一个人跑到这儿来干什么？人生地不熟的。,You say you're just a defenceless young woman—what on earth are you doing here all on your own? You don't know a soul here.
你知道我的难言之隐，我不能和任何人说明我们的关系。所以什么好的坏的我都要憋在心里，默默承受。,"You know my secret; I can't tell anyone about our relationship. So, whether it's good or bad, I have to keep it all to myself and bear it in silence."
听说小林和小王要结婚了，是真的吗？,I've heard that Xiao Lin and Xiao Wang are getting married. Is that true?
——什么真的假的？！他俩结婚的日子早就定了，请帖也都发出去了。,"—What do you mean, ‘is that true or not'?! Their wedding date was set ages ago, and the invitations have all been sent out."
这项低保补助金，是为低收入家庭发放的。补助金额每家从500到3500元不等，视家庭收入而定。,"This minimum living allowance is provided to low-income households. The amount of the allowance varies from 500 to 3,500 yuan per household, depending on the household's income."
领导进行调研的方式有多种，可以明察，可以暗访，可以召开小型座谈会，还可以针对性地个别谈话。该用什么方式，应视情况而定。,"There are various ways for leaders to conduct research: they may carry out open inspections, make unannounced visits, hold small-scale round-table discussions, or conduct targeted one-to-one interviews. The approach to be taken should depend on the circumstances."
十几年前，该县共有20余所小学，其中多半学校的校舍残破，教学设施老旧。这种情况下，谈何“素质教育”？,"A dozen or so years ago, the county had a total of more than 20 primary schools, the majority of which had dilapidated buildings and outdated teaching facilities. Under such circumstances, how could there be any question of ‘quality education'?"
消费能力不足，工业产品就卖不出去。产品市场惨淡，工业谈何兴旺！,"Without sufficient purchasing power, industrial products cannot be sold. With the market for these products in such a dire state, how can industry possibly flourish?"
他无非有些小聪明罢了，离天才还差得远呢！,He's just a bit clever—he's a long way from being a genius!
这里的海鲜大餐物美价廉，人均花费不过二百多港币而已。,"The seafood feast here offers excellent value for money, with the cost per person coming to just over 200 Hong Kong dollars."
我从来不觉得自己胖，我只是不瘦而已。,I've never thought of myself as fat; I'm just not slim.
领导干部不能有私心杂念，要全心全意为人民服务，想人民之所想，急人民之所急。,"Leading cadres must not harbour selfish motives or ulterior thoughts; they must serve the people wholeheartedly, thinking what the people think and sharing their concerns."
创业指导专家服务团成立一年来，想创业者之所想，急创业者之所急，是创业者的最佳智囊团。,"Since its establishment a year ago, the Start-up Advisory Expert Service Team has been thinking what start-up founders think and addressing their most pressing concerns, serving as their best think tank."
我们谨此向广大读者致以最诚挚的问候，感谢大家在过去的一年里对本刊的支持、鼓励和批评。,"We would like to extend our warmest regards to our readers and thank you all for your support, encouragement and constructive criticism over the past year."
我满怀喜悦，用中文向留学生们致以节日的祝福。,It is with great joy that I extend my festive greetings to the international students in Chinese.
我要长相没长相，要身材没身材，怎么可能当明星？,I've got neither looks nor a good figure—how on earth could I ever be a star?
我们返回的时候要机票没机票，要火车票没火车票，只好跟人拼车回来。,"When we were due to return, there were no plane tickets or train tickets available, so we had no choice but to share a car with others to get back."
老张要能力有能力，要资历有资历，早就应该当经理了。,Old Zhang has both the ability and the experience; he should have been made manager long ago.
你的部队一定要坚守阵地，把敌人反击下去，要援兵有援兵，要弹药有弹药。,Your troops must hold their positions at all costs and repel the enemy's counter-attack; reinforcements and ammunition are available whenever needed.
看到其他人的结局，俞经理十分庆幸自己没有因一时冲动而犯下大错。,"Seeing how things had turned out for others, Manager Yu was very glad that he had not made a serious mistake on the spur of the moment."
教师为每个学生制定的学习计划应因人而异。,The learning plans that teachers draw up for each pupil should be tailored to the individual.
政府若仅靠当地力量不能让群众脱贫致富，引入外部资源有何不可？,"If the government cannot lift the people out of poverty and help them prosper by relying solely on local resources, what is wrong with bringing in external resources?"
我是真不明白，你这样只知道拼命赚钱，生活究竟有何乐趣？,I really don't understand—what's the point of life if all you do is work yourself to the bone just to make money?
这不就是一场校际篮球联赛吗，有什么看头？,Isn't this just an inter-school basketball tournament? What's so interesting about it?
我是不明白，这些垃圾食品，油腻至极，有什么吃头？,I really don't understand what's so appealing about this junk food—it's absolutely dripping with grease.
他职位提升后，工作日益繁忙，只能在工作之余发表一些作品。,"Since his promotion, his workload has become increasingly heavy, and he has only been able to publish a few pieces in his spare time."
这本书收录了很多幽默、滑稽的故事，不过倘若能在捧腹大笑之余回味一番，便可发现这些故事背后也蕴含着深刻的哲理。,"This book contains many humorous and comical stories; however, if you take a moment to reflect on them after having a good laugh, you will discover that there are profound philosophical insights underlying them."
值此新春佳节之际，衷心感谢您对本公司一直以来的关心和支持！,"On the occasion of the Spring Festival, we would like to express our sincere gratitude for your continued interest in and support of our company!"
值此教师节来临之际，祝我校全体老师身体健康，阖家幸福！,"As Teachers' Day approaches, we wish all the teachers at our school good health and happiness for them and their families!"
新型钛合金门窗不仅美观大方，而且在使用寿命方面也远远优于铁窗和铝合金门窗。,"New-generation titanium alloy windows and doors are not only attractive and elegant, but also far superior to iron windows and aluminium alloy windows and doors in terms of service life."
对她这种锦衣玉食的富家小姐而言，面子往往胜于一切。,"For a young lady from a wealthy family like her, who is used to a life of luxury, saving face is often more important than anything else."
我可不相信这世界上还有厨艺高过您的人。,I simply cannot believe there's anyone in the world who can cook better than you.
你争气点，强过你的两个哥哥，不要让那些没安好心的人笑话了。,"Do yourself some credit, prove yourself better than your two older brothers, and don't let those with ulterior motives have a laugh at your expense."
他虽然在犹豫，但现在还不会和她说分手，一来于心不忍，二来谈了这么多年多少也习惯了，三来怕别人议论。,"Although he was having second thoughts, he wasn't ready to break up with her just yet: firstly, he couldn't bring himself to do it; secondly, having been together for so many years, he had grown accustomed to the relationship; and thirdly, he was worried about what people might say."
他对王经理有相当的敬意，一来因为是自己的顶头上司，二来因为经理对于相关业务确实是烂熟于心，三来因为经理虽沉默寡言但又善于处理人际关系。,"He had a great deal of respect for Manager Wang: firstly, because he was his immediate superior; secondly, because the manager truly knew the relevant business inside out; and thirdly, because, although he was a man of few words, he was skilled at managing interpersonal relationships."
这种药品一则价格高昂，二则产量较少，三则副作用明显，因此难以推广。,"This medicine is difficult to promote because, firstly, it is expensive; secondly, it is produced in limited quantities; and thirdly, it has significant side effects."
排练时需要的演员比实际演出的时候要多一些，一则考察演员的表现，不合适的话就换掉；二则可以相互提出意见，完善表演；三则不上场的演员也可以做一些剧务工作。,"A slightly larger cast is required during rehearsals than for the actual performance. Firstly, this allows the actors' performances to be assessed, and those who are unsuitable can be replaced; secondly, it enables them to offer each other feedback and refine their performances; and thirdly, actors who are not on stage can assist with stage management tasks."
所谓绒面涂料，就是视觉效果一流，又不会引发眩晕，触感柔软而有弹性的新型装饰材料。,"So-called velvety paint is a new type of decorative material that offers a superb visual effect without causing dizziness, and is soft and supple to the touch."
企业管理者要为企业的发展提供催化剂。所谓催化剂，就是能为企业发展提供助力的一切行为，包括设立清晰目标、调动员工自主性和创造性，以及提供充分的资源等。,"Business leaders must act as catalysts for the organisation's development. By ‘catalyst', we mean any action that helps drive the organisation's development, including setting clear objectives, fostering employees' autonomy and creativity, and providing adequate resources."
这一辈子，或饱经挫折，或一帆风顺。受挫折的，心性会得到磨炼，总是处于顺境的，往往思想单纯。,"In the course of one's life, one may face numerous setbacks or enjoy smooth sailing. Those who face setbacks find their character tempered, whilst those who are always in favourable circumstances tend to have a simpler outlook."
那个工人，或是生病了，或是家里头有事，反正今天来不了了。,"That worker—whether he's ill or has something come up at home—won't be able to come in today, anyway."
今年上半年，门店营业额有二百五十万元之多，但利润仅一万多元，公司经理说：“我们宁可利润少一些，也不能忘掉服务消费者的宗旨。”,"In the first half of this year, the shop's turnover amounted to as much as 2.5 million yuan, but profits were only just over 10,000 yuan. The company manager said, ‘We would rather make a smaller profit than lose sight of our commitment to serving our customers.'"
这批有志于交响乐艺术的音乐家始终以发展中国高水平的交响乐为己任。他们宁愿生活艰苦些，也不愿放弃自己热爱的事业。,"These musicians, who are dedicated to the art of symphonic music, have always regarded the development of high-calibre symphonic music in China as their mission. They would rather endure a modest standard of living than give up the career they are passionate about."
与其在这里胡思乱想，我宁愿当面去问个清楚。,"Rather than sitting here speculating, I'd much rather go and ask him directly."
与其跟这些毫无责任心的人一组，我宁可一个人做这个小组作业。,I'd rather do this group assignment on my own than be in a group with these irresponsible people.
重庆火锅好吃是好吃，不过对于吃不惯麻辣味的人来说，恐怕会难以入口。,"Chongqing hotpot is certainly delicious, but for those unaccustomed to spicy and numbing flavours, it may well prove difficult to eat."
上周的大型相亲会，他迫于父母的压力，去倒是去了，但若是让他在相亲会上勇敢地表达自己，追求心上人，确实是难为他了。,"At last week's large-scale matchmaking event, he did turn up under pressure from his parents, but to expect him to boldly express himself and pursue the woman he fancied at such an event was really asking too much of him."
别看年龄小，他的志向可很大呢！,Don't let his young age fool you – he's got big ambitions!
别看小王一天到晚看上去什么都不在乎的样子，其实他是个特别在意别人看法的人。,"Don't be fooled by the fact that Xiao Wang seems not to care about anything all day long; in reality, he's someone who cares deeply about what others think."
虽说我的身体不好，但我并不会放弃一直以来的理想。,"Although I am in poor health, I will not give up on the dream I have always held."
虽说这位著名画家的一幅画就可赚上百万，可仍然架不住儿子这样挥霍。,"Although a single painting by this famous artist can fetch millions, it is still no match for his son's extravagance."
无论你同意与否，他都会按自己的计划去处理这件事的。,"Whether you agree or not, he will go ahead with this according to his own plan."
所有的工作人员，无论工作成绩优异与否，都是能领到高额奖金的。,"All staff members, regardless of their performance, are eligible to receive a substantial bonus."
此次比赛设有一、二、三等奖及优秀奖。凡获奖者均颁发荣誉证书。,"The competition features First, Second and Third Prizes, as well as an Excellence Award. All prize-winners will be presented with a certificate of honour."
凡来我市进行技术合作的单位，均可根据自身的资金、设备、专长等条件，进行多领域、多层次的合作。,"Any organisation wishing to engage in technical cooperation with our city may do so across a range of fields and at various levels, depending on its own financial resources, equipment and expertise."
假若你不愿待在家里，你可以到湖边散散步，或在公园喝喝茶、下下棋。,"If you don't fancy staying at home, you could go for a walk by the lake, or have a cup of tea and play a game of chess in the park."
我从来都不会后悔之前的决定，假使一切再从头来，结果也还是一样的。,"I never regret the decisions I've made in the past; even if I had to start all over again, the outcome would be the same."
幸好你今天中午替我打了饭，不然我就只有挨饿的份了。,"Thank goodness you got me some lunch at midday today; otherwise, I'd have had to go hungry."
幸亏老张告诉了我哥哥的电话号码，否则我就真没法跟哥哥联系了。,"Thank goodness Old Zhang gave me my brother's phone number; otherwise, I really wouldn't have been able to get in touch with him."
纵然无人为他加油喝彩，他最终也还是夺取了本站比赛的冠军。,"Even though no one was cheering him on, he still went on to win this round of the competition."
纵使出于好心，你也要注意沟通的方式，说话不要那么直接。,"Even if your intentions are good, you should be mindful of how you communicate and avoid being so direct."
富有智慧者看得透，故不争；胸襟豁达者想得开，故不斗。,"The wise see through things, and so do not quarrel; the magnanimous take things in their stride, and so do not fight."
肺肉瘤样癌是一种罕见的肺癌，因其症状、体征缺乏特异性，常需术后活检才能确诊，故明确诊断较难。,"Pulmonary sarcomatoid carcinoma is a rare form of lung cancer; as its symptoms and signs are non-specific, a post-operative biopsy is often required for a definitive diagnosis, making it difficult to diagnose with certainty."
自从这种靶向药物问世之后，它的治疗癌症的功能被推崇到了极点，以至它在黑市上的价格被炒到了百万以上。,"Since this targeted drug was introduced, its efficacy in treating cancer has been extolled to such an extent that its price on the black market has soared to over a million."
当下的素质教育实践呈现出明显的形式化特征，以至于一些学校将活动课的数量作为衡量素质教育实施的指标，反而加重了学生负担。,"Current practices in quality education exhibit clear signs of becoming merely a formality, to the extent that some schools use the number of activity-based lessons as an indicator of the implementation of quality education, which has in turn increased the burden on pupils."
这本书别说本科生了，研究生读起来都费劲。,"This book is a struggle to read, not just for undergraduates, but even for postgraduates."
他现在没有收入来源，别说10万，就是一万块现在也拿不出。,"He has no source of income at the moment; let alone 100,000, he couldn't even come up with 10,000 right now."
你们在我家住着白吃白喝不说，还给我添乱。,"Not only are you staying at my place and living off me for free, but you're also causing me trouble."
消费者最怕的就是上当受骗，买到假冒伪劣商品，钱花了不说，还弄了一肚子气。,"What consumers fear most is being duped and ending up with counterfeit or substandard goods; not only have they wasted their money, but they've also been left feeling thoroughly frustrated."
这道题的解法连老师都得想半天，更不用说学生了。,"Even the teacher would have to think about this problem for quite a while, let alone the pupils."
他连简单的道歉都不肯，更不用说做出什么补偿了。,"He wouldn't even offer a simple apology, let alone make any amends."
这样的影视作品，成人尚且不宜观看，何况是涉世未深的孩子。,"Such films and television programmes are unsuitable even for adults, let alone children who have little experience of the world."
高海拔地区土壤贫瘠、气候恶劣，野草生长尚且困难，更何况发展大规模农业？,"In high-altitude regions, the soil is barren and the climate harsh; even wild grasses struggle to grow, let alone the development of large-scale agriculture."
听音乐如果音量过大，对成人的听力都会造成损伤，更不用说对婴幼儿了。所以，让婴幼儿听音乐时，音量要控制适当。,"Listening to music at excessively high volumes can damage the hearing of adults, let alone that of infants and young children. Therefore, when playing music for infants and young children, the volume should be kept at a suitable level."
虽说“豪华型”大客车带有卧铺，但路况不好，一路颠簸。坐在这种车上，想打个盹常常都不容易，更不用说睡个安稳觉了。,"Although the ‘deluxe' coach is fitted with berths, the road conditions were poor and the journey was a bumpy ride. Sitting on a coach like this, it's often difficult even to doze off, let alone get a good night's sleep."
超强台风将在浦东登陆，为安全起见，长三角地区部分列车会临时停运。,"A super typhoon is set to make landfall in Pudong; for safety reasons, some train services in the Yangtze River Delta region will be temporarily suspended."
医生说他手术恢复得很好，但为了保险起见，还是需要留院观察一段时间。,"The doctor said he was recovering well from the operation, but to be on the safe side, he still needs to remain in hospital for a while for observation."
